CODIGO_ENTIDAD|NOMBRE|TIPO_GESTION|ESTADO_LICENCIAMIENTO|PERIODO_LICENCIAMIENTO|DEPARTAMENTO_LOCAL|PROVINCIA_LOCAL|DISTRITO_LOCAL|LATITUD_UBICACION|LONGITUD_UBICACION
091|UNIVERSIDAD PRIVADA SAN CARLOS S.A.C.|PRIVADO|LICENCIA DENEGADA|0|PUNO|PUNO|PUNO|-15.8395008|-70.0295166
016|UNIVERSIDAD NACIONAL DE CAJAMARCA|PÚBLICO|LICENCIA OTORGADA|6|CAJAMARCA|CAJAMARCA|CAJAMARCA|-7.167193596|-78.49652308
067|UNIVERSIDAD CONTINENTAL S.A.C.|PRIVADO|LICENCIA OTORGADA|6|JUNÍN|HUANCAYO|HUANCAYO|-12.04773072|-75.19874451
118|UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|ATE|-12.0211306|-76.9037173
104|UNIVERSIDAD LE CORDON BLEU S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|MAGDALENA DEL MAR|-12.0985893|-77.05636
037|UNIVERSIDAD PERUANA LOS ANDES|PRIVADO|LICENCIA OTORGADA|6|JUNÍN|HUANCAYO|HUANCAYO|-12.0400383|-75.1924434
064|UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|CHORRILLOS|-12.19647398|-77.0055825
006|UNIVERSIDAD NACIONAL DE INGENIERÍA|PÚBLICO|LICENCIA OTORGADA|10|LIMA|LIMA|RÍMAC|-12.02373883|-77.04837621
038|UNIVERSIDAD PERUANA UNIÓN|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LURIGANCHO|-11.989087|-76.839662
109|UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|SAN BORJA|-12.1108862|-76.9912619
018|UNIVERSIDAD DE LIMA|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SANTIAGO DE SURCO|-12.0839637|-76.97064472
005|UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA|PÚBLICO|LICENCIA OTORGADA|10|AREQUIPA|AREQUIPA|AREQUIPA|-16.403293|-71.52488856
144|UNIVERSIDAD GLOBAL DEL CUSCO S.A.C.|PRIVADO|LICENCIA DENEGADA|0|CUSCO|CUSCO|CUSCO|-13.5242195|-71.9436937
032|UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN|PÚBLICO|LICENCIA OTORGADA|6|TACNA|TACNA|TACNA|-18.0251828|-70.2505031
083|UNIVERSIDAD PRIVADA TELESUP S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|LIMA|-12.0640089|-77.0345749
141|UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.|PRIVADO|LICENCIA DENEGADA|0|CALLAO|PROV. CONST. DEL CALLAO|CALLAO|-12.0614969|-77.1471769
148|UNIVERSIDAD SEMINARIO BÍBLICO ANDINO|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|PUEBLO LIBRE|-12.0696208|-77.0533978
052|UNIVERSIDAD CÉSAR VALLEJO S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|-8.1293904|-79.0433213
075|UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS|PÚBLICO|LICENCIA OTORGADA|6|MADRE DE DIOS|TAMBOPATA|TAMBOPATA|-12.5885658|-69.2095274
063|GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|ICA|ICA|ICA|-14.0767829|-75.7338981
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|LIMA|LIMA|SAN MARTÍN DE PORRES|-12.02388414|-77.05635292
121|UNIVERSIDAD NACIONAL DE BARRANCA|PÚBLICO|LICENCIA OTORGADA|6|LIMA|BARRANCA|BARRANCA|-10.7543002|-77.7582572
114|UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.|PRIVADO|LICENCIA DENEGADA|0|CUSCO|CUSCO|CUSCO|-13.52546307|-71.95167842
074|UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI|PRIVADO|LICENCIA OTORGADA|6|LA LIBERTAD|TRUJILLO|MOCHE|-8.160289281|-79.0114454
077|UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC|PÚBLICO|LICENCIA OTORGADA|6|APURÍMAC|ABANCAY|TAMBURCO|-13.61755584|-72.86815631
011|UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA|PÚBLICO|LICENCIA OTORGADA|8|LORETO|MAYNAS|SAN JUAN BAUTISTA|-3.76462148|-73.27088066
057|UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LA MOLINA|-12.07329192|-76.95384422
043|UNIVERSIDAD PRIVADA DE TACNA|PRIVADO|LICENCIA OTORGADA|6|TACNA|TACNA|POCOLLAY|-18.0058389|-70.2254838
113|UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|JESÚS MARÍA|-12.0825774|-77.0462745
008|PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ|PRIVADO|LICENCIA OTORGADA|10|LIMA|LIMA|SAN MIGUEL|-12.07149852|-77.07838661
044|UNIVERSIDAD PARTICULAR DE CHICLAYO|PRIVADO|LICENCIA DENEGADA|0|LAMBAYEQUE|CHICLAYO|PIMENTEL|-6.790111|-79.8783334
047|UNIVERSIDAD DE HUÁNUCO|PRIVADO|LICENCIA OTORGADA|6|HUÁNUCO|HUÁNUCO|HUANUCO|-9.928390564|-76.2370196
030|UNIVERSIDAD RICARDO PALMA|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SANTIAGO DE SURCO|-12.13137641|-76.97952292
068|UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|VILLA EL SALVADOR|-12.2215281|-76.9766998
090|UNIVERSIDAD PRIVADA DE TRUJILLO|PRIVADO|LICENCIA DENEGADA|0|LA LIBERTAD|TRUJILLO|LAREDO|-8.1081445|-78.99437
039|UNIVERSIDAD ANDINA DEL CUSCO|PRIVADO|LICENCIA OTORGADA|6|CUSCO|CUSCO|SAN JERÓNIMO|-13.53722798|-71.90391768
105|UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT S.A.C.|PRIVADO|LICENCIA OTORGADA|6|JUNÍN|HUANCAYO|HUANCAYO|-12.06559636|-75.20483786
115|UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.|PRIVADO|LICENCIA DENEGADA|0|AREQUIPA|AREQUIPA|TIABAYA|-16.4495719|-71.600257
070|UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.|PRIVADO|LICENCIA DENEGADA|0|CAJAMARCA|CAJAMARCA|CAJAMARCA|-7.156522|-78.5145522
009|UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA|PÚBLICO|LICENCIA DENEGADA|0|ICA|ICA|ICA|-14.0871322|-75.7335148
137|UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|AMAZONAS|UTCUBAMBA|BAGUA GRANDE|-5.7566749|-78.443932
103|UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|LIMA|-12.0739859|-77.0358612
059|UNIVERSIDAD ALAS PERUANAS S.A.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|JESÚS MARÍA|-12.08137781|-77.04667389
025|UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE|PÚBLICO|LICENCIA OTORGADA|6|LIMA|LIMA|LURIGANCHO|-11.94648842|-76.70131631
051|UNIVERSIDAD NACIONAL DE HUANCAVELICA|PÚBLICO|LICENCIA OTORGADA|6|HUANCAVELICA|HUANCAVELICA|HUANCAVELICA|-12.7781367|-74.9614392
094|UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LORETO|MAYNAS|SAN JUAN BAUTISTA|-3.771757644|-73.28343169
076|UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS|PÚBLICO|LICENCIA OTORGADA|6|AMAZONAS|CHACHAPOYAS|CHACHAPOYAS|-6.2335409|-77.8531651
117|UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|BREÑA|-12.0563001|-77.044063
048|UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI|PRIVADO|LICENCIA DENEGADA|0|MOQUEGUA|MARISCAL NIETO|MOQUEGUA|-17.1900294|-70.9423867
013|UNIVERSIDAD NACIONAL DE PIURA|PÚBLICO|LICENCIA OTORGADA|6|PIURA|PIURA|CASTILLA|-5.179311|-80.6188325
134|UNIVERSIDAD LATINOAMERICANA CIMA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|TACNA|TACNA|TACNA|-18.0165596|-70.2417025
087|UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.|PRIVADO|LICENCIA OTORGADA|6|ICA|CHINCHA|CHINCHA ALTA|-13.4156394|-76.1286726
022|UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA|PÚBLICO|LICENCIA OTORGADA|6|HUÁNUCO|LEONCIO PRADO|RUPA-RUPA|-9.314010213|-75.99662598
106|UNIVERSIDAD NACIONAL DE FRONTERA|PÚBLICO|LICENCIA OTORGADA|6|PIURA|SULLANA|SULLANA|-4.909982224|-80.7284411
111|UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.|PRIVADO|LICENCIA DENEGADA|0|AREQUIPA|AREQUIPA|YANAHUARA|-16.4029451|-71.5456437
085|UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.|PRIVADO|LICENCIA DENEGADA|0|LIMA|CAÑETE|SAN VICENTE DE CAÑETE|-13.07308595|-76.36939859
100|UNIVERSIDAD JAIME BAUSATE Y MEZA|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|JESÚS MARÍA|-12.0849556|-77.0547406
027|UNIVERSIDAD NACIONAL DEL CALLAO|PÚBLICO|LICENCIA OTORGADA|6|CALLAO|PROV. CONST. DEL CALLAO|BELLAVISTA|-12.06205068|-77.11740342
050|UNIVERSIDAD CIENTÍFICA DEL PERÚ|PRIVADO|INFORME DE VERIFICACIÓN PRESENCIAL (IVP)|0|LORETO|MAYNAS|SAN JUAN BAUTISTA|-3.769188297|-73.28203694
034|UNIVERSIDAD NACIONAL DE SAN MARTÍN|PÚBLICO|LICENCIA OTORGADA|6|SAN MARTÍN|SAN MARTÍN|TARAPOTO|-6.488771895|-76.35940358
101|UNIVERSIDAD NACIONAL DE JAÉN|PÚBLICO|LICENCIA OTORGADA|6|CAJAMARCA|JAÉN|JAÉN|-5.6983568|-78.8096319
112|UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.|PRIVADO|LICENCIA DENEGADA|0|AYACUCHO|HUAMANGA|AYACUCHO|-13.1483009|-74.228788
122|UNIVERSIDAD NACIONAL DE CAÑETE|PÚBLICO|LICENCIA OTORGADA|6|LIMA|CAÑETE|SAN VICENTE DE CAÑETE|-13.0730626|-76.3678195
110|UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LORETO|MAYNAS|IQUITOS|-3.7545929|-73.2471887
088|UNIVERSIDAD NACIONAL TECNOLÓGICA DE LIMA SUR|PÚBLICO|LICENCIA OTORGADA|6|LIMA|LIMA|VILLA EL SALVADOR|-12.2134138|-76.9326924
012|UNIVERSIDAD NACIONAL DEL ALTIPLANO|PÚBLICO|LICENCIA OTORGADA|6|PUNO|PUNO|PUNO|-15.8243805|-70.0162544
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PÚBLICO|LICENCIA OTORGADA|10|LIMA|LIMA|LIMA|-12.0560257|-77.0844226
130|UNIVERSIDAD AUTÓNOMA MUNICIPAL DE LOS OLIVOS|PÚBLICO|NINGUNO|0|LIMA|LIMA|LOS OLIVOS|-12.0003522|-77.0833903
